id;content;contact_id;app_account_id;deal_id
57;blandit non interdum in ante vestibulum;181;1;null
58;sed justo pellentesque viverra pede;142;1;null
59;vivamus metus arcu adipiscing molestie hendrerit;189;1;null
60;molestie nibh in lectus pellentesque at;192;1;null
61;erat vestibulum sed;198;1;null
62;donec odio justo sollicitudin ut suscipit;159;1;null
63;ligula pellentesque ultrices phasellus;156;1;null
64;commodo vulputate justo in blandit;153;1;null
65;cubilia curae donec;150;1;null
66;sed vel enim;140;1;null
67;hac habitasse platea dictumst;163;1;null
68;augue aliquam erat volutpat in;145;1;null
69;purus eu magna;193;1;null
70;convallis tortor;106;1;null
71;imperdiet nullam orci pede venenatis non;192;1;null
72;at vulputate;108;1;null
73;posuere cubilia curae;169;1;null
74;congue etiam justo etiam pretium;160;1;null
75;pede posuere nonummy integer non;156;1;null
76;sed vel enim sit;141;1;null
77;gravida sem;133;1;null
78;orci eget orci vehicula condimentum curabitur;155;1;null
79;nec sem duis aliquam convallis nunc;188;1;null
80;tincidunt ante vel ipsum praesent;100;1;null
81;vel dapibus at diam nam;138;1;null
82;ut rhoncus aliquet;145;1;null
83;interdum in ante vestibulum;131;1;null
84;sed vestibulum;120;1;null
85;vulputate ut;168;1;null
86;lacus curabitur at ipsum ac tellus;146;1;null
87;nulla dapibus dolor vel;134;1;null
88;quis lectus;149;1;null
89;amet eleifend pede libero quis orci;120;1;null
90;nullam varius nulla facilisi cras non;195;1;null
91;id sapien in sapien iaculis;125;1;null
92;parturient montes;190;1;null
93;curae nulla dapibus dolor;196;1;null
94;ut rhoncus aliquet;184;1;null
95;ut ultrices vel;110;1;null
96;in felis eu sapien cursus vestibulum;155;1;null
97;integer pede justo lacinia eget;180;1;null
98;iaculis justo in hac habitasse;154;1;null
99;luctus ultricies eu;147;1;null
100;curae donec pharetra magna vestibulum aliquet;172;1;null
101;tristique est et tempus;132;1;null
102;quis tortor;194;1;null
103;a ipsum;141;1;null
104;morbi ut odio;148;1;null
105;molestie nibh in lectus pellentesque;189;1;null
106;sem sed sagittis nam congue risus;192;1;null
107;quisque arcu libero rutrum;174;1;null
108;amet nunc viverra dapibus nulla;111;1;null
109;sagittis nam;153;1;null
110;ac est lacinia nisi;145;1;null
111;consequat in consequat;149;1;null
112;vel est donec odio;131;1;null
113;id ligula;187;1;null
114;vel ipsum praesent;177;1;null
115;id massa id nisl;135;1;null
116;imperdiet et;148;1;null
117;sit amet consectetuer adipiscing elit;115;1;null
118;tincidunt ante vel ipsum praesent blandit;151;1;null
119;sit amet consectetuer;160;1;null
120;id justo;159;1;null
121;pede libero quis;154;1;null
122;quam sollicitudin vitae consectetuer eget rutrum;194;1;null
123;venenatis tristique fusce;112;1;null
124;pellentesque viverra pede ac diam;166;1;null
125;dui proin leo odio porttitor;153;1;null
126;ipsum primis;103;1;null
127;praesent lectus vestibulum;191;1;null
128;bibendum imperdiet nullam orci pede venenatis;156;1;null
129;congue diam id ornare imperdiet;106;1;null
130;quam pede lobortis ligula sit;118;1;null
131;lacus at velit vivamus;128;1;null
132;at velit;120;1;null
133;odio odio elementum eu interdum;104;1;null
134;ridiculus mus etiam;162;1;null
135;eget massa tempor;156;1;null
136;molestie sed justo pellentesque viverra;178;1;null
137;eget elit sodales scelerisque;195;1;null
138;pretium nisl ut volutpat sapien arcu;137;1;null
139;vestibulum ante ipsum primis in faucibus;102;1;null
140;molestie hendrerit at vulputate vitae nisl;169;1;null
141;pede ullamcorper augue a suscipit;123;1;null
142;et magnis dis parturient montes nascetur;131;1;null
143;convallis eget eleifend luctus ultricies eu;188;1;null
144;felis sed;182;1;null
145;potenti cras in purus eu magna;107;1;null
146;nisi nam;100;1;null
147;fermentum justo;122;1;null
148;condimentum curabitur in libero ut massa;129;1;null
149;ut ultrices vel augue vestibulum;168;1;null
150;habitasse platea dictumst;113;1;null
151;quam turpis adipiscing lorem;193;1;null
152;posuere felis sed lacus morbi;144;1;null
153;maecenas ut massa;114;1;null
154;posuere felis sed lacus morbi sem;178;1;null
155;felis eu sapien cursus vestibulum;107;1;null
156;sed magna at;185;1;null
157;condimentum neque sapien placerat ante;174;1;null
158;tortor id nulla ultrices aliquet maecenas;131;1;null
159;ultrices phasellus id sapien in sapien;177;1;null
160;maecenas pulvinar lobortis est phasellus sit;146;1;null
161;vel accumsan tellus;106;1;null
162;dis parturient;154;1;null
163;sapien iaculis congue vivamus metus arcu;170;1;null
164;non mi;116;1;null
165;lorem ipsum dolor sit amet consectetuer;180;1;null
166;placerat ante nulla justo aliquam;194;1;null
167;posuere nonummy integer non;147;1;null
168;etiam faucibus cursus urna ut tellus;195;1;null
169;nulla justo aliquam quis;121;1;null
170;ultrices posuere;111;1;null
171;primis in faucibus orci luctus et;155;1;null
172;sit amet;188;1;null
173;nec euismod scelerisque quam turpis adipiscing;126;1;null
174;duis ac nibh fusce lacus;101;1;null
175;rutrum nulla nunc purus phasellus in;120;1;null
176;et ultrices posuere cubilia curae duis;137;1;null
177;ac est lacinia nisi venenatis tristique;152;1;null
178;ut massa volutpat convallis;127;1;null
179;in hac habitasse platea;115;1;null
180;aliquam non mauris morbi;189;1;null
181;interdum venenatis turpis enim;129;1;null
182;sapien sapien;106;1;null
183;ultrices enim lorem;113;1;null
184;sit amet;146;1;null
185;pellentesque viverra pede;149;1;null
186;eget massa tempor;196;1;null
187;rhoncus sed vestibulum sit amet;109;1;null
188;lobortis ligula sit amet eleifend;198;1;null
189;in consequat ut;178;1;null
190;quisque erat eros viverra;150;1;null
191;magnis dis parturient montes;148;1;null
192;velit id pretium;110;1;null
193;libero ut;167;1;null
194;nisi venenatis tristique fusce congue;173;1;null
195;morbi ut odio cras;142;1;null
196;cursus urna ut;131;1;null
197;justo eu massa donec;144;1;null
198;sem mauris;175;1;null
199;non pretium quis;153;1;null
200;diam vitae quam suspendisse potenti;187;1;null
201;turpis nec euismod scelerisque quam turpis;119;1;null
202;eget elit;164;1;null
203;vulputate luctus cum sociis natoque;132;1;null
204;odio cras mi pede malesuada;146;1;null
205;sed sagittis;106;1;null
206;congue diam;139;1;null
207;dui vel sem;164;1;null
208;diam in magna;134;1;null
209;magna bibendum imperdiet nullam;120;1;null
210;lacus curabitur at;161;1;null
211;velit nec nisi vulputate nonummy;157;1;null
212;platea dictumst aliquam augue quam;146;1;null
213;pede posuere nonummy integer non;138;1;null
214;lectus pellentesque eget nunc donec quis;103;1;null
215;mauris vulputate elementum nullam varius;163;1;null
216;lectus pellentesque at nulla suspendisse;143;1;null
217;eu massa;186;1;null
218;justo aliquam;169;1;null
219;in sapien iaculis congue;134;1;null
220;consequat ut nulla sed accumsan felis;179;1;null
221;varius ut blandit;106;1;null
222;nunc purus;185;1;null
223;eleifend donec ut dolor morbi;175;1;null
224;aliquam convallis nunc;145;1;null
225;hac habitasse platea;150;1;null
226;molestie lorem quisque ut;153;1;null
227;duis at;193;1;null
228;phasellus sit amet erat nulla tempus;140;1;null
229;penatibus et magnis dis parturient montes;131;1;null
230;lobortis convallis tortor;140;1;null
231;faucibus orci luctus et ultrices;110;1;null
232;lectus pellentesque at nulla suspendisse;187;1;null
233;morbi vestibulum velit id pretium;148;1;null
234;odio porttitor id consequat in;112;1;null
235;nulla mollis molestie lorem quisque;181;1;null
236;sed accumsan felis ut at;161;1;null
237;vel est donec odio justo sollicitudin;144;1;null
238;non mattis pulvinar nulla;117;1;null
239;tristique est et tempus semper;112;1;null
240;primis in faucibus orci luctus et;100;1;null
241;dolor sit amet consectetuer adipiscing;112;1;null
242;et tempus semper est quam pharetra;184;1;null
243;venenatis lacinia aenean sit amet;192;1;null
244;dapibus at diam nam;140;1;null
245;est congue elementum in hac;116;1;null
246;pede justo lacinia eget tincidunt eget;156;1;null
247;sit amet eros suspendisse;166;1;null
248;adipiscing molestie hendrerit;129;1;null
249;pellentesque volutpat dui;144;1;null
250;porttitor lacus at turpis donec;109;1;null
251;lacus at;182;1;null
252;vestibulum ante ipsum primis;127;1;null
253;venenatis non sodales sed tincidunt;153;1;null
254;lorem ipsum;173;1;null
255;quis lectus suspendisse potenti in;103;1;null
256;porttitor lorem;179;1;null
257;amet nunc;125;1;null
258;quisque erat eros viverra eget;120;1;null
259;auctor sed;116;1;null
260;nisl nunc rhoncus;184;1;null
261;curae donec;143;1;null
262;mauris sit amet eros suspendisse accumsan;179;1;null
263;eu est congue elementum in;158;1;null
264;duis ac nibh fusce lacus purus;103;1;null
265;amet justo;124;1;null
266;in tempor turpis;102;1;null
267;consequat metus sapien ut nunc;120;1;null
268;rutrum neque;196;1;null
269;nulla neque libero convallis;163;1;null
270;tempus vivamus in felis eu;175;1;null
271;ac enim in tempor;137;1;null
272;bibendum morbi;117;1;null
273;sit amet;188;1;null
274;nulla justo aliquam;185;1;null
275;quis turpis;166;1;null
276;aenean auctor gravida sem praesent;101;1;null
277;integer ac;100;1;null
278;quam suspendisse potenti nullam porttitor lacus;101;1;null
279;eu sapien cursus;194;1;null
280;imperdiet nullam orci pede venenatis;102;1;null
281;consectetuer eget rutrum at;187;1;null
282;nec nisi;169;1;null
283;odio elementum eu interdum eu;183;1;null
284;odio odio elementum eu;104;1;null
285;dui vel nisl;172;1;null
286;eros suspendisse accumsan tortor;124;1;null
287;posuere cubilia curae duis faucibus accumsan;115;1;null
288;et ultrices posuere cubilia curae;158;1;null
289;in faucibus orci luctus et;141;1;null
290;est quam pharetra;131;1;null
291;enim leo rhoncus;107;1;null
292;metus vitae ipsum;148;1;null
293;dui vel nisl;145;1;null
294;ut blandit non interdum in ante;178;1;null
295;suspendisse ornare consequat lectus in est;117;1;null
296;duis bibendum;153;1;null
297;aliquam erat volutpat in;119;1;null
298;placerat ante nulla justo aliquam;198;1;null
299;cras mi;117;1;null
300;bibendum felis;111;1;null
301;leo maecenas pulvinar;153;1;null
302;etiam faucibus cursus;193;1;null
303;cursus id;189;1;null
304;eget orci;170;1;null
305;ante vivamus tortor;161;1;null
306;quam a;117;1;null
307;odio donec vitae nisi nam;167;1;null
308;cubilia curae nulla;166;1;null
309;nulla pede ullamcorper;111;1;null
310;imperdiet nullam orci pede venenatis non;155;1;null
311;orci luctus et ultrices posuere;159;1;null
312;morbi vel lectus in quam fringilla;135;1;null
313;sed interdum venenatis turpis;152;1;null
314;morbi vel lectus in quam fringilla;119;1;null
315;in hac habitasse platea;162;1;null
316;eu mi;155;1;null
317;turpis elementum ligula;148;1;null
318;sit amet;118;1;null
319;vestibulum ante;152;1;null
320;morbi porttitor;113;1;null
321;donec quis orci;109;1;null
322;ut massa;177;1;null
323;quis orci eget orci vehicula;120;1;null
324;interdum mauris ullamcorper;156;1;null
325;felis ut at dolor quis odio;153;1;null
326;feugiat et eros vestibulum ac est;135;1;null
327;a libero nam dui proin;159;1;null
328;neque libero convallis eget;181;1;null
329;diam nam tristique tortor eu;180;1;null
330;justo lacinia eget;132;1;null
331;eleifend pede libero quis;156;1;null
332;id pretium iaculis;105;1;null
333;cubilia curae duis faucibus accumsan;123;1;null
334;lacus morbi quis;180;1;null
335;nisl venenatis lacinia aenean sit amet;234;2;null
336;cum sociis natoque penatibus et magnis;284;2;null
337;eu est congue elementum;254;2;null
338;purus phasellus in felis;284;2;null
339;eu massa donec dapibus;217;2;null
340;justo maecenas rhoncus aliquam;291;2;null
341;posuere cubilia curae duis faucibus;298;2;null
342;accumsan tellus nisi eu orci;268;2;null
343;vel augue vestibulum;204;2;null
344;vestibulum sed magna;221;2;null
345;et commodo;213;2;null
346;consequat in consequat ut nulla sed;273;2;null
347;ac est lacinia;230;2;null
348;mauris viverra diam vitae quam suspendisse;284;2;null
349;ipsum dolor sit;203;2;null
350;sed augue aliquam;278;2;null
351;cubilia curae duis faucibus accumsan odio;257;2;null
352;augue quam sollicitudin vitae;272;2;null
353;diam in magna bibendum imperdiet nullam;285;2;null
354;convallis duis consequat dui nec nisi;282;2;null
355;eros viverra eget;213;2;null
356;mauris vulputate elementum;273;2;null
357;lobortis vel dapibus at diam;265;2;null
358;sollicitudin vitae consectetuer;248;2;null
359;pulvinar sed nisl nunc;256;2;null
360;euismod scelerisque quam turpis;210;2;null
361;praesent blandit nam nulla;226;2;null
362;vulputate nonummy;270;2;null
363;pede justo lacinia eget tincidunt;205;2;null
364;lacus curabitur at ipsum;244;2;null
365;lobortis convallis tortor risus;233;2;null
366;dui maecenas tristique;287;2;null
367;congue eget semper rutrum;268;2;null
368;non ligula;266;2;null
369;erat id mauris;214;2;null
370;cubilia curae;283;2;null
371;nisi vulputate nonummy maecenas;235;2;null
372;donec odio justo;237;2;null
373;magnis dis parturient montes nascetur;264;2;null
374;nulla suspendisse potenti cras in purus;290;2;null
375;quis libero;291;2;null
376;rhoncus mauris enim leo rhoncus sed;289;2;null
377;metus arcu;287;2;null
378;consequat metus;222;2;null
379;vestibulum quam sapien varius;231;2;null
380;non sodales;209;2;null
381;luctus et ultrices;293;2;null
382;vulputate ut ultrices;212;2;null
383;sapien a;273;2;null
384;suspendisse potenti in eleifend;285;2;null
385;accumsan tortor quis turpis sed ante;280;2;null
386;fusce posuere;231;2;null
387;vitae nisi;218;2;null
388;non velit;292;2;null
389;donec ut mauris eget massa tempor;228;2;null
390;sit amet eleifend pede libero quis;299;2;null
391;nam dui proin leo odio porttitor;262;2;null
392;diam id ornare imperdiet sapien urna;254;2;null
393;est risus;252;2;null
394;metus aenean fermentum donec ut;206;2;null
395;sit amet turpis elementum ligula;227;2;null
396;sapien arcu sed augue aliquam;280;2;null
397;diam in magna;248;2;null
398;cubilia curae nulla dapibus dolor;220;2;null
399;dis parturient;233;2;null
400;mattis pulvinar;236;2;null
401;erat id mauris vulputate;255;2;null
402;rutrum nulla tellus in sagittis dui;223;2;null
403;non velit;291;2;null
404;egestas metus aenean;234;2;null
405;phasellus id sapien in sapien iaculis;255;2;null
406;nonummy maecenas tincidunt lacus at;257;2;null
407;amet erat nulla tempus;276;2;null
408;nonummy integer non velit donec diam;235;2;null
409;et magnis dis;261;2;null
410;eget elit sodales scelerisque mauris sit;297;2;null
411;vivamus in felis eu sapien;224;2;null
412;non ligula pellentesque ultrices phasellus;282;2;null
413;nunc proin at;224;2;null
414;nulla dapibus dolor;243;2;null
415;elementum eu;276;2;null
416;quam sollicitudin vitae consectetuer eget rutrum;263;2;null
417;id sapien;239;2;null
418;ridiculus mus etiam vel augue vestibulum;217;2;null
419;donec diam neque vestibulum eget vulputate;205;2;null
420;elit proin interdum mauris non ligula;295;2;null
421;neque aenean auctor gravida sem praesent;251;2;null
422;neque vestibulum eget;287;2;null
423;duis consequat;234;2;null
424;mauris vulputate elementum nullam;281;2;null
425;tincidunt nulla;222;2;null
426;venenatis tristique fusce congue diam id;233;2;null
427;commodo placerat praesent blandit;213;2;null
428;turpis donec;265;2;null
429;phasellus sit amet erat nulla tempus;237;2;null
430;amet sem fusce consequat nulla nisl;246;2;null
431;congue elementum;286;2;null
432;posuere cubilia;285;2;null
433;quis augue;284;2;null
434;ridiculus mus vivamus vestibulum sagittis sapien;205;2;null
435;in faucibus orci;219;2;null
436;erat quisque erat;271;2;null
437;phasellus sit amet erat;273;2;null
438;ligula nec sem duis aliquam;280;2;null
439;in porttitor pede justo;230;2;null
440;vivamus tortor duis mattis;235;2;null
441;integer ac;254;2;null
442;pede malesuada in;225;2;null
443;iaculis congue vivamus metus arcu adipiscing;269;2;null
444;rhoncus aliquam lacus morbi quis;271;2;null
445;pulvinar lobortis est phasellus sit;236;2;null
446;donec diam neque;261;2;null
447;quam pharetra magna;218;2;null
448;feugiat et;258;2;null
449;amet eros;241;2;null
450;mauris vulputate elementum nullam varius nulla;299;2;null
451;pede ullamcorper;272;2;null
452;fermentum donec ut mauris;233;2;null
453;lobortis vel dapibus at;248;2;null
454;rhoncus dui;214;2;null
455;magna vulputate;241;2;null
456;amet nulla quisque arcu;229;2;null
457;condimentum id luctus nec;209;2;null
458;natoque penatibus et magnis dis;202;2;null
459;posuere cubilia;276;2;null
460;convallis tortor risus dapibus;237;2;null
461;tortor id nulla;207;2;null
462;interdum venenatis turpis;251;2;null
463;quis orci eget orci;204;2;null
464;non pretium;239;2;null
465;sagittis sapien cum sociis natoque;207;2;null
466;ut ultrices vel augue vestibulum;254;2;null
467;ipsum dolor sit amet consectetuer;216;2;null
468;amet eleifend;289;2;null
469;aliquam sit amet diam in;278;2;null
470;donec ut mauris eget massa;230;2;null
471;quisque arcu libero;208;2;null
472;lacinia erat vestibulum;249;2;null
473;pede venenatis non sodales sed tincidunt;284;2;null
474;ut mauris eget;288;2;null
475;nisl nunc nisl duis bibendum felis;246;2;null
476;eu mi;259;2;null
477;ullamcorper purus sit amet nulla quisque;213;2;null
478;eu mi nulla ac enim;251;2;null
479;adipiscing elit proin risus praesent lectus;247;2;null
480;eleifend luctus;218;2;null
481;tellus nulla ut erat id;211;2;null
482;nec nisi vulputate nonummy maecenas;238;2;null
483;velit vivamus vel nulla;254;2;null
484;gravida sem praesent id;240;2;null
485;amet consectetuer adipiscing elit proin;207;2;null
486;integer non velit donec diam neque;238;2;null
487;tempus sit amet sem fusce consequat;219;2;null
488;vel enim;204;2;null
489;lorem ipsum dolor sit;215;2;null
490;amet nunc;281;2;null
491;nibh fusce lacus purus aliquet;280;2;null
492;est donec odio justo;272;2;null
493;at ipsum;259;2;null
494;lorem id ligula;236;2;null
495;nibh in lectus pellentesque at nulla;289;2;null
496;elementum eu interdum eu;259;2;null
497;blandit non interdum in ante vestibulum;208;2;null
498;ultrices mattis odio;230;2;null
499;tincidunt nulla;209;2;null
500;cursus vestibulum proin;296;2;null
501;sollicitudin mi sit amet;286;2;null
502;enim in tempor turpis nec euismod;246;2;null
503;ac enim in tempor turpis;291;2;null
504;sapien in sapien iaculis congue vivamus;267;2;null
505;id justo sit amet sapien;206;2;null
506;vestibulum ante ipsum primis in;242;2;null
507;quis orci nullam;288;2;null
508;tristique in tempus sit;290;2;null
509;nibh quisque;260;2;null
510;sit amet justo morbi ut;296;2;null
511;nisl ut volutpat sapien arcu sed;237;2;null
512;curabitur in libero ut;219;2;null
513;mi sit amet lobortis;231;2;null
514;in consequat;245;2;null
515;rutrum neque;292;2;null
516;nullam orci pede;230;2;null
517;nisi vulputate nonummy maecenas;253;2;null
518;vestibulum ante ipsum primis in faucibus;203;2;null
519;lectus pellentesque;294;2;null
520;purus phasellus in;221;2;null
521;eros vestibulum ac est;242;2;null
522;interdum mauris ullamcorper purus sit amet;253;2;null
523;eleifend quam a;226;2;null
524;molestie lorem quisque ut;224;2;null
525;praesent id massa id nisl;274;2;null
526;ligula pellentesque ultrices phasellus;216;2;null
527;erat eros;225;2;null
528;amet sapien;279;2;null
529;sollicitudin ut suscipit;232;2;null
530;porttitor lacus at turpis;245;2;null
531;ligula in lacus curabitur at ipsum;243;2;null
532;ornare imperdiet sapien urna;239;2;null
533;faucibus orci luctus et ultrices;201;2;null
534;vestibulum rutrum rutrum neque aenean auctor;212;2;null
535;donec diam neque vestibulum eget;224;2;null
536;mauris enim;273;2;null
537;nibh quisque id;260;2;null
538;et ultrices;267;2;null
539;ultrices erat tortor sollicitudin mi sit;231;2;null
540;quis orci nullam molestie nibh in;283;2;null
541;quis libero;256;2;null
542;velit vivamus vel nulla eget;213;2;null
543;rutrum nulla;221;2;null
544;scelerisque quam;230;2;null
545;nascetur ridiculus mus vivamus vestibulum;285;2;null
546;quis odio;261;2;null
547;ac neque duis bibendum;213;2;null
548;sapien quis libero;284;2;null
549;a pede;285;2;null
550;curabitur in libero;266;2;null
551;a suscipit nulla elit;298;2;null
552;nulla suscipit ligula in;261;2;null
553;turpis donec posuere metus;228;2;null
554;curabitur gravida nisi at;200;2;null
555;nibh in lectus pellentesque at;246;2;null
556;nam ultrices libero non;246;2;null
557;eget vulputate ut ultrices vel;270;2;null
558;tempus vivamus in;233;2;null
559;aliquet massa id lobortis;298;2;null
560;dapibus duis at velit eu;226;2;null
561;turpis sed ante;202;2;null
562;morbi odio odio;268;2;null
563;ante ipsum primis in;229;2;null
564;ante ipsum primis in faucibus orci;256;2;null
565;nulla sed vel enim sit amet;296;2;null
566;adipiscing elit proin interdum;249;2;null
567;tellus nulla ut erat;219;2;null
568;aliquet pulvinar sed nisl nunc rhoncus;246;2;null
569;nulla nisl nunc;291;2;null
570;turpis eget elit sodales;278;2;null
571;ullamcorper purus sit amet nulla;280;2;null
572;primis in;297;2;null
573;tortor eu pede;226;2;null
574;pretium iaculis justo in hac;216;2;null
575;donec vitae nisi nam;291;2;null
576;sapien arcu sed augue aliquam;275;2;null
577;ac neque duis;235;2;null
578;non lectus;282;2;null
579;ac leo pellentesque ultrices mattis;205;2;null
580;vel augue vestibulum rutrum rutrum neque;271;2;null
581;sapien ut nunc vestibulum ante;275;2;null
582;lobortis vel dapibus;275;2;null
583;in imperdiet et commodo;211;2;null
584;justo eu massa;271;2;null
585;sed sagittis nam congue;258;2;null
586;sed lacus morbi sem mauris laoreet;267;2;null
587;hac habitasse platea;219;2;null
588;in porttitor pede;268;2;null
589;ut erat id mauris;270;2;null
590;mattis nibh ligula;234;2;null
591;ipsum dolor sit amet;228;2;null
592;imperdiet et commodo vulputate;204;2;null
593;varius integer ac;257;2;null
594;leo pellentesque ultrices mattis;236;2;null
595;cras non velit nec;299;2;null
596;dui nec nisi volutpat;298;2;null
597;sollicitudin vitae consectetuer eget rutrum;213;2;null
598;euismod scelerisque quam;283;2;null
599;ac tellus;275;2;null
600;dapibus at diam nam;246;2;null
601;augue vestibulum rutrum rutrum neque aenean;284;2;null
602;fusce lacus purus aliquet at;233;2;null
603;posuere nonummy integer non velit;261;2;null
604;eleifend pede libero quis orci;285;2;null
605;in hac;235;2;null
606;porta volutpat quam pede;227;2;null
607;dui vel nisl duis ac nibh;208;2;null
608;dolor sit amet consectetuer adipiscing;206;2;null
609;maecenas ut massa quis augue;279;2;null
610;quis odio consequat varius;259;2;null
611;maecenas leo odio;247;2;null
612;urna ut tellus nulla ut;210;2;null
613;proin risus praesent lectus vestibulum quam;245;2;null
614;proin leo odio porttitor;229;2;null
615;nullam varius;241;2;null
616;volutpat in congue etiam;276;2;null
617;in porttitor pede justo eu;234;2;null
618;ut odio;275;2;null
619;cras non velit;249;2;null
620;tempus sit amet;244;2;null
621;lacinia erat vestibulum sed magna;221;2;null
622;ut nulla;298;2;null
623;vel pede morbi porttitor lorem;207;2;null
624;in sagittis dui vel nisl;283;2;null
625;donec ut mauris;248;2;null
626;mi in porttitor pede;209;2;null
627;amet nunc viverra dapibus nulla;263;2;null
628;hendrerit at;254;2;null
629;consequat lectus in est;226;2;null
630;nunc purus phasellus in felis donec;277;2;null
631;pede ullamcorper augue a suscipit nulla;260;2;null
632;in purus;299;2;null
633;velit eu est congue elementum in;288;2;null
634;libero convallis;266;2;null
635;pede libero;206;2;null
636;ornare consequat;261;2;null
637;odio donec;251;2;null
638;ac nibh fusce lacus purus;202;2;null
639;magnis dis;281;2;null
640;curabitur convallis duis;215;2;null
641;ultrices erat tortor sollicitudin mi;241;2;null
642;aliquam erat volutpat in congue;225;2;null
643;lectus in est risus;224;2;null
644;posuere metus vitae ipsum aliquam non;215;2;null
645;etiam vel augue vestibulum;275;2;null
646;nibh fusce lacus purus aliquet at;275;2;null
647;neque aenean auctor;297;2;null
648;phasellus sit amet;293;2;null
649;tempus sit amet sem fusce;265;2;null
650;duis mattis egestas metus aenean fermentum;217;2;null
651;sapien ut nunc vestibulum ante;204;2;null
652;hac habitasse platea dictumst;232;2;null
653;est congue elementum in hac habitasse;278;2;null
654;phasellus in felis;222;2;null
655;phasellus id sapien in sapien;233;2;null
656;sit amet;237;2;null
657;nulla neque libero convallis eget eleifend;204;2;null
658;porttitor lorem;296;2;null
659;consequat morbi a;291;2;null
660;nibh in lectus pellentesque at nulla;209;2;null
661;nunc rhoncus dui vel sem;233;2;null
662;felis sed interdum venenatis;280;2;null
663;ante vel ipsum praesent blandit lacinia;217;2;null
664;in tempus sit amet sem fusce;291;2;null
665;in blandit ultrices enim lorem ipsum;285;2;null
666;consectetuer adipiscing elit;290;2;null
667;a nibh in quis justo maecenas;271;2;null
668;sit amet consectetuer adipiscing elit;264;2;null
669;nonummy integer non;232;2;null
670;sed interdum venenatis turpis enim blandit;395;3;null
671;nunc nisl;317;3;null
672;sem praesent id massa;319;3;null
673;vitae quam;310;3;null
674;lobortis sapien sapien non mi;363;3;null
675;in faucibus;353;3;null
676;lorem id ligula;330;3;null
677;donec ut mauris;394;3;null
678;faucibus orci luctus et ultrices;379;3;null
679;integer ac neque duis;380;3;null
680;blandit non interdum in ante vestibulum;307;3;null
681;convallis duis consequat;340;3;null
682;nisl aenean lectus;325;3;null
683;scelerisque mauris sit amet eros;399;3;null
684;lobortis convallis tortor risus dapibus;303;3;null
685;proin eu mi;387;3;null
686;lorem id ligula;367;3;null
687;viverra diam;358;3;null
688;eget eros elementum pellentesque quisque porta;386;3;null
689;amet cursus id;326;3;null
690;nascetur ridiculus mus etiam;316;3;null
691;tortor duis mattis egestas metus;381;3;null
692;elit sodales;381;3;null
693;semper porta volutpat quam pede;313;3;null
694;mauris enim leo rhoncus;350;3;null
695;vulputate luctus;341;3;null
696;lacus morbi quis tortor id nulla;366;3;null
697;ac neque duis bibendum morbi;308;3;null
698;erat fermentum justo nec condimentum neque;334;3;null
699;nisi volutpat;349;3;null
700;massa volutpat;331;3;null
701;neque libero;344;3;null
702;posuere nonummy;317;3;null
703;non sodales sed tincidunt eu;309;3;null
704;justo in hac habitasse platea;329;3;null
705;eu magna vulputate luctus cum sociis;372;3;null
706;maecenas leo odio condimentum id;399;3;null
707;dolor quis;375;3;null
